386137,74,,0.00,0.00,0.00,0.00,0.00,98899.53,203.89,74.21,15.86,15.30,1.78,60.46,108.52,0.15,1.55,0.76,-0.02,0.03,1.00,171.77,14.26
391268,75,,0.00,0.00,0.00,0.00,0.00,98901.74,203.70,74.14,15.91,15.37,1.51,68.20,108.05,0.45,1.28,0.42,-0.02,0.03,1.01,162.07,14.36
396396,76,,0.00,0.00,0.00,0.00,0.00,98900.88,203.77,73.88,15.98,15.45,1.64,nan,108.82,0.51,1.26,0.33,-0.02,0.03,1.00,155.80,14.43
401673,77,,0.00,0.00,0.00,0.00,0.00,98902.63,203.85,73.37,16.02,15.52,1.65,nan,108.00,0.28,1.23,0.73,-0.02,0.03,1.00,170.63,14.56
406800,78,,0.00,0.00,0.00,0.00,0.00,98901.71,203.70,72.75,16.07,15.61,1.61,67.50,109.26,0.75,1.15,0.43,-0.02,0.03,1.00,166.07,14.60
411931,79,,0.00,0.00,0.00,0.00,0.00,98905.94,203.35,72.89,16.13,15.70,1.61,nan,109.42,0.51,1.29,0.41,-0.02,0.03,1.01,159.79,14.70
417058,80,,0.00,0.00,0.00,0.00,0.00,98899.47,203.89,72.69,16.17,15.81,1.43,64.89,108.62,0.66,1.33,0.37,-0.02,0.03,1.01,156.37,14.77
422187,81,,0.00,0.00,0.00,0.00,0.00,98906.20,203.32,72.48,16.23,15.89,1.51,nan,109.45,0.41,1.15,0.46,-0.02,0.03,1.00,165.50,14.84
427317,82,,0.00,0.00,0.00,0.00,0.00,98898.08,204.01,72.09,16.29,15.99,1.62,nan,109.84,0.31,1.32,0.50,-0.02,0.03,1.00,166.07,14.91
432444,83,,0.00,0.00,0.00,0.00,0.00,98901.28,203.74,71.83,16.36,16.11,1.59,71.58,107.82,0.62,1.47,0.38,-0.02,0.03,1.00,167.21,14.94
437688,84,,0.00,0.00,0.00,0.00,0.00,98899.78,203.87,71.57,16.41,16.24,1.61,nan,108.99,0.64,1.54,0.36,-0.02,0.03,1.00,165.50,15.12
442815,85,,0.00,0.00,0.00,0.00,0.00,98899.94,203.85,71.52,16.48,16.32,1.65,nan,109.24,0.31,1.21,0.35,-0.01,0.03,1.00,165.50,15.12
447945,86,,0.00,0.00,0.00,0.00,0.00,98902.50,203.64,71.29,16.53,16.42,1.53,48.75,108.96,-0.39,0.95,0.32,-0.01,0.03,1.00,173.48,15.26
453073,87,,0.00,0.00,0.00,0.00,0.00,98905.72,203.36,70.91,16.58,16.48,1.37,50.25,108.88,0.78,1.35,0.51,-0.01,0.02,1.00,174.62,15.29
458201,88,,0.00,0.00,0.00,0.00,0.00,98905.78,203.36,70.74,16.65,16.55,1.42,68.17,110.37,0.38,1.42,0.47,-0.01,0.02,1.00,167.21,15.43
463329,89,,0.00,0.00,0.00,0.00,0.00,98914.72,203.28,70.37,16.71,16.60,1.62,61.52,108.64,0.45,1.29,0.46,-0.02,0.03,1.00,168.35,15.43
468564,90,,0.00,0.00,0.00,0.00,0.00,98909.62,203.26,70.44,16.77,16.66,1.49,nan,109.49,0.38,1.24,0.29,-0.02,0.03,1.00,159.22,15.47
473692,91,,0.00,0.00,0.00,0.00,0.00,98902.68,203.39,70.33,16.83,16.72,1.38,nan,107.96,0.76,1.19,0.34,-0.02,0.02,1.00,170.06,15.54
478819,92,,0.00,0.00,0.00,0.00,0.00,98908.10,203.16,70.37,16.87,16.78,1.44,68.82,108.90,0.50,1.34,0.26,-0.02,0.03,1.00,175.19,15.65
483947,93,,0.00,0.00,0.00,0.00,0.00,98906.48,203.30,70.14,16.94,16.85,1.28,nan,109.36,0.41,1.29,0.68,-0.02,0.02,1.00,169.49,15.65
489077,94,,0.00,0.00,0.00,0.00,0.00,98902.02,204.13,70.14,16.98,16.91,1.48,64.45,108.13,0.31,1.38,0.46,-0.02,0.03,1.00,167.78,15.68
494205,95,,0.00,0.00,0.00,0.00,0.00,98901.24,203.74,70.08,17.03,16.98,1.29,80.15,109.85,0.46,1.13,0.31,-0.03,0.02,1.00,162.65,15.68
