195766,26,16,15,3,34.543659,-117.863548,749.70,0.69,91572.46,845.43,41.74,0.00,22.79,-4.09,-0.91,115.81,8.94,7.67,-29.61,0.02,-0.07,0.98,121.05,nan
200890,27,16,15,8,34.543659,-117.863548,749.90,0.22,91614.13,841.67,41.59,0.00,23.06,0.69,4.46,111.96,2.52,2.35,-1.09,-0.08,0.01,1.00,126.54,nan
206014,28,16,15,13,34.543655,-117.863548,750.10,0.41,91608.67,842.16,41.31,0.00,23.30,-0.53,-0.64,102.87,-2.34,-1.32,-1.29,0.01,-0.01,0.98,121.05,nan
211140,29,16,15,18,34.543655,-117.863548,750.20,0.20,91616.36,841.47,40.35,0.00,23.48,1.17,-0.74,106.40,3.63,4.60,2.63,0.01,0.02,1.00,115.56,nan
216264,30,16,15,23,34.543655,-117.863548,750.40,0.31,91668.13,836.79,39.66,0.00,23.37,8.11,0.96,113.65,-1.39,-2.27,-2.07,-0.02,0.14,0.99,110.07,nan
233537,31,16,15,40,34.543666,-117.863548,751.20,0.11,91534.44,848.38,38.75,0.00,24.10,6.79,-0.21,118.81,2.09,-0.03,1.09,0.00,0.12,0.99,121.05,nan
238786,32,16,15,46,34.543670,-117.863555,751.60,0.11,91634.89,839.79,38.46,0.00,24.20,6.57,1.16,117.25,2.51,4.81,-1.78,-0.02,0.11,0.99,121.05,nan
243911,33,16,15,51,34.543674,-117.863555,752.20,0.17,91640.08,839.32,38.55,0.00,24.26,8.04,1.78,122.37,1.86,2.91,-4.03,-0.03,0.14,0.97,121.05,nan
249035,34,16,15,56,34.543674,-117.863555,752.50,0.33,91600.55,842.89,38.49,0.00,24.57,7.60,2.23,124.48,-0.75,-3.23,-0.73,-0.04,0.13,1.01,121.05,nan
254159,35,16,16,1,34.543674,-117.863555,752.80,0.19,91623.42,840.83,38.31,0.00,24.72,5.87,0.90,120.39,1.27,3.22,0.40,-0.02,0.10,0.99,104.58,nan
259283,36,16,16,6,34.543678,-117.863555,753.10,0.37,91626.61,840.54,38.18,0.00,24.86,5.05,1.98,118.48,1.45,1.08,0.04,-0.03,0.09,1.01,104.58,nan
275546,37,16,16,22,34.543678,-117.863555,754.10,0.09,91591.84,843.68,37.23,0.00,25.25,0.29,2.09,113.06,2.32,2.46,-1.63,-0.04,0.01,1.00,115.56,nan
280779,38,16,16,28,34.543682,-117.863555,754.30,0.13,91645.82,838.80,36.63,0.00,25.30,-0.08,2.50,111.32,3.05,0.38,3.26,-0.04,-0.00,1.00,121.05,nan
285903,39,16,16,33,34.543682,-117.863555,754.50,0.06,91652.69,838.18,36.45,0.00,25.35,3.55,3.14,116.02,4.28,-0.37,1.84,-0.05,0.06,0.99,110.07,nan
291030,40,16,16,38,34.543682,-117.863555,754.80,0.13,91631.26,840.12,36.39,0.00,25.49,1.46,1.74,117.12,-1.59,2.17,1.04,-0.03,0.03,1.00,104.58,nan
296153,41,16,16,43,34.543682,-117.863555,755.00,0.00,91665.39,837.04,36.12,0.00,25.35,-26.84,-6.46,59.41,2.49,-4.62,-5.61,0.11,-0.44,0.86,121.05,nan
301276,42,16,16,48,34.543685,-117.863555,755.30,0.04,91646.75,838.72,36.48,0.00,25.41,1.85,-0.25,110.34,-0.40,4.15,2.14,0.00,0.03,0.99,115.56,nan
